	954.0
ikh	1.0
bpnar	1.0
pemimpinmu	2.0
legaaaaaa	1.0
iku	35.0
ikutikutan	1.0
ikt	4.0
kwselamatan	1.0
nies	7.0
keterpilihannya	1.0
brangus	3.0
ngehakimin	1.0
penggelapan	2.0
ilc	2.0
gituuuuuj	1.0
ile	1.0
2album	1.0
kilihatan	1.0
ili	29.0
kerera	1.0
krosten	1.0
tegakkanlah	1.0
lagee	1.0
nieh	5.0
in1	1.0
kammu	1.0
kesehatannya	1.0
tinggu	1.0
mempitnah	6.0
nemangvormas	1.0
daerah	143.0
tinggi	152.0
tinggl	3.0
imb	2.0
g30s	1.0
rute	1.0
hahahhahaha	6.0
ngengeng	1.0
imi	1.0
mngdu	1.0
nihh	19.0
kerent	2.0
pemimpinku	1.0
susunan	3.0
imm	2.0
eong	1.0
ruti	1.0
masssa	3.0
sdh73	1.0
sosial	36.0
subhannallah	1.0
kucingny	1.0
kerena	13.0
inb	3.0
hihihihi	20.0
kaaaaan	4.0
ina	2.0
ind	17.0
inf	1.0
acak	11.0
ine	1.0
ing	9.0
loenya	1.0
inj	7.0
lagi2	25.0
ini	6394.0
menerangi	2.0
inn	1.0
ngerugiin	2.0
kamos	1.0
ino	2.0
laggi	1.0
bantahan	10.0
rusk	2.0
mantaappp	6.0
pernjarakan	1.0
inu	2.0
hijabers	1.0
naturali	1.0
menjelek2	3.0
hihihiii	5.0
negar	1.0
acar	1.0
negat	1.0
ion	1.0
tumbuhan	2.0
mengharukan	2.0
daaahhh	1.0
gerakan2	1.0
ngapaen	2.0
nongoooolll	1.0
tantang	16.0
ipa	1.0
mengidap	2.0
mukamat	4.0
menjernihkan	1.0
ipk	3.0
pijit	1.0
niii	5.0
niih	4.0
berlogika	3.0
mengiyakan	1.0
kupinge	2.0
hooyyyyyy	2.0
santunnya	1.0
strezz	2.0
madih	4.0
jawab	22.0
nila	1.0
peranakkan	2.0
amburadul	45.0
bancian	1.0
disebelah	4.0
pancinya	1.0
mensejaterakan	1.0
sehatnya	1.0
majikannya	6.0
yeeaaccchhh	1.0
dhuuulllll	1.0
bangung	1.0
saringlah	1.0
perbyk	1.0
aaaamin	1.0
niku	2.0
amburadur	1.0
ira	5.0
bangunn	1.0
pijet	2.0
tionghua	2.0
irg	5.0
nuntut2	1.0
golonganmu	2.0
iri	101.0
hehhehehe	1.0
nika	1.0
fernando	1.0
acek	3.0
bangun2	4.0
nike	1.0
carbondioxida	1.0
petunjuk	27.0
acem	2.0
aceh	38.0
niki	11.0
nikh	2.0
iru	11.0
isalam	3.0
bawanya	3.0
tanahbang	1.0
aktivitas	3.0
dirundung	1.0
pemula	5.0
habibmya	1.0
isa	71.0
isc	1.0
bentuknya	3.0
isi	176.0
segitiga	1.0
kntutt	1.0
syurga	6.0
isl	2.0
iso	15.0
nini	2.0
ning	8.0
1dibuka2di	1.0
miyanmar	5.0
derajatnya	8.0
isu	156.0
ist	1.0
brjlan	1.0
nendang	2.0
pemuka	38.0
golongan	85.0
trylyun	1.0
itb	1.0
ita	1.0
takkut	1.0
omongangannya	1.0
itc	2.0
fenomena	5.0
ite	21.0
kentutpun	2.0
sellud	1.0
iti	7.0
itk	1.0
beginilah	28.0
ngapain	286.0
serendah	2.0
ito	1.0
mendapatkankan	1.0
its	2.0
pengangguran	45.0
itu	7125.0
tugasnya	18.0
dalilnya	6.0
menyejukkan	17.0
pemuja	33.0
menimdas	1.0
baaapaa	1.0
mendesah2	1.0
mendaftar	3.0
keteladanan	2.0
disklaim	1.0
cemilan	3.0
memprovokasi	31.0
cappeee	1.0
hormatilah	9.0
hayangna	1.0
habababaha	1.0
bsalah	4.0
cekeas	1.0
keciuman	1.0
kejatuhan	1.0
acin	1.0
napsunya	3.0
lewat	22.0
offside	1.0
besabarlah	1.0
k9k	1.0
benarannya	1.0
memiskin	1.0
ngejudge	1.0
mwmangnya	1.0
duryudana	1.0
niru	7.0
konttol	1.0
koontolnja	1.0
mendesain	1.0
negrinya	2.0
petunjok	1.0
ksdrn	1.0
brtanya	1.0
rochyati	2.0
lahhhh	1.0
testing	1.0
persatukanlah	1.0
bersantun	1.0
iya	487.0
nipu	22.0
iye	9.0
iyh	3.0
pemainan	1.0
jancoook	3.0
iyo	8.0
weeekkk	1.0
mangkanny	1.0
kacaunya	1.0
iyu	3.0
wahyono	1.0
terheboh	2.0
branjang	1.0
acok	6.0
presdir	1.0
nita	1.0
buneng	1.0
puihhhh	1.0
cnederung	1.0
jadikanlan	1.0
bergegas	1.0
jadikanlah	9.0
kmaren2	1.0
dimodif	1.0
nisa	8.0
ngukur	2.0
internship	1.0
aparatnya	4.0
tergiur	10.0
nghancurin	1.0
vonisnya	3.0
sensasi	12.0
memusui	1.0
massal	5.0
beginilha	1.0
amburadol	3.0
sukarela	1.0
massax	1.0
beraspirasi	1.0
panteskah	1.0
pklnya	1.0
spalon	1.0
kotorn	1.0
bodoknya	1.0
pertanyakan	15.0
gopoh	1.0
kotori	5.0
madut	2.0
permalukan	4.0
maduk	4.0
kepriben	1.0
nyerpong	1.0
dagelannegriku	1.0
bengkokin	1.0
gonggonganmu	1.0
kelakuaannya	1.0
pnistaagama	2.0
olivia	3.0
aloysius	2.0
sirriiiih	1.0
senang2	5.0
kotor2	2.0
jayent	1.0
wklnya	2.0
acra	3.0
oradanta	1.0
presdnt	1.0
11774	1.0
kehilangn	1.0
takkan	3.0
nyinyirin	1.0
jab	1.0
jaa	1.0
macul	1.0
jad	2.0
blehh	1.0
jah	1.0
berpredikat	2.0
nailul	1.0
pikrannya	1.0
jag	1.0
anehhhhh	1.0
buburin	1.0
jal	3.0
jak	11.0
jan	11.0
riizeiq	1.0
kaper	3.0
jam	110.0
acuh	1.0
percma	2.0
jar	3.0
hoker	2.0
jas	5.0
jau	4.0
asyiiiiek	1.0
acta	38.0
levis	1.0
niye	2.0
junimart	3.0
jbu	2.0
meninggalkan	24.0
belikan	5.0
mutusin	5.0
memancing2	1.0
omongdigedein	2.0
dibatalin	1.0
pemeritntah	2.0
mengutamakan	4.0
pahaman	2.0
begitulah	48.0
dkungan	2.0
benarlah	2.0
bahasapolitik	1.0
jda	1.0
disumbangin	1.0
jde	1.0
jdd	1.0
ngeband	1.0
jdi	353.0
percis	1.0
kedengaran	4.0
longko	1.0
bataknya	1.0
dipandang	5.0
alksi	1.0
seimaaaan	1.0
potong	15.0
ksabaran	2.0
yunishara	1.0
copottttttttttt	1.0
potonk	1.0
mooyang	1.0
paraaaaaaahhhh	1.0
terdapat	4.0
jek	2.0
kapir	117.0
jen	1.0
jem	1.0
kapit	3.0
kepulau	1.0
muksin	3.0
jet	1.0
jes	2.0
kopiahnya	1.0
alhamdulila	1.0
jey	1.0
wuaaahahahaaaaa	1.0
luqman	1.0
menerimanya	4.0
citraan	1.0
msyrakat	2.0
mepet	2.0
bleee	1.0
burrrr	1.0
onarnya	1.0
batesnya	1.0
bantaiii	1.0
pakjokowe	1.0
epek	2.0
jga	142.0
pminpin	1.0
ngrumpi	6.0
jge	1.0
jgk	1.0
jgn	2101.0
jgm	7.0
jgo	1.0
zubillah	2.0
abdurahman	2.0
strees	11.0
dibantah	11.0
dunianya	3.0
dibantai	18.0
penjlat	1.0
weiiii	1.0
jha	3.0
jhb	1.0
seakidah	4.0
dzikir	20.0
sdiri	2.0
mbayar	2.0
memutar	26.0
jht	1.0
provofikasi	1.0
pengamat2	4.0
habriz	1.0
jih	1.0
nyinyiran	1.0
jil	11.0
jik	25.0
jin	32.0
jim	1.0
klakuannya	2.0
jip	1.0
jir	1.0
jiq	1.0
jis	1.0
brarti	50.0
mnjdi	20.0
jja	3.0
pijak	3.0
ngulek	1.0
saluuuttt	1.0
julius	1.0
kapoj	1.0
kapok	68.0
juntrungannya	1.0
citramu	1.0
kluargamu	1.0
presidiumm	3.0
brangasan	1.0
jjj	1.0
menghidupkan	7.0
tiongk0k	1.0
privokator	3.0
jl2	1.0
kuntilanak	5.0
jjr	5.0
chaniago	4.0
menyadap	96.0
tindes	1.0
prcya	5.0
selmat	1.0
hahahahahahahahahahahag	1.0
jka	6.0
jke	1.0
pengamatt	2.0
nunduk	3.0
jkl	1.0
jko	2.0
jkr	1.0
rizuek	1.0
jkt	267.0
bleah	1.0
jkw	34.0
rizueq	2.0
apyuuun	1.0
bangttt	1.0
mskipun	2.0
samgat	1.0
pungguk	2.0
stress	92.0
takjub	1.0
ketemunyahahaha	1.0
jlh	1.0
persisss	1.0
jlk	2.0
dosa2nya	1.0
dituhankan	2.0
kerdit	1.0
jln	98.0
digendang	1.0
manntaaaapppp	1.0
jls	88.0
teruskanlah	1.0
tanthawi	1.0
kerdil	12.0
tingkatkan	9.0
ada2	36.0
jlz	2.0
berpartisipasi	1.0
kapri	1.0
wdah	1.0
antek2nya	3.0
jml	1.0
jmn	8.0
menistakn	3.0
penyanyikan	1.0
brandon	3.0
iratama	1.0
berutang	1.0
menerita	1.0
olimpiade	2.0
umtiti	1.0
adak	1.0
allahoaxbar	1.0
lonceng	2.0
pasangan	95.0
jng	127.0
adam	15.0
adal	2.0
kebersamaan	6.0
advokasi	1.0
jni	1.0
jnj	2.0
adah	1.0
dibener2in	1.0
adab	30.0
pijek	1.0
jnp	1.0
adaa	2.0
menghentikan	4.0
tindas	4.0
mnjga	1.0
trilyunner	1.0
provocator	1.0
berdamai	4.0
adax	1.0
bajibgan	1.0
tindak	49.0
adat	10.0
bykan	1.0
job	5.0
tindah	1.0
adap	1.0
joe	14.0
binatanh	2.0
binatang	104.0
longor	2.0
xiomay	1.0
jok	19.0
alkes	1.0
jon	42.0
keheningan	2.0
jom	1.0
semata2	1.0
nakalnya	1.0
jos	11.0
kaciaaaaaan	1.0
njis	1.0
joy	2.0
njir	4.0
madep	1.0
clnder	1.0
eppy	1.0
madek	1.0
penhinaan	1.0
madeg	4.0
pijat	1.0
berdagang	3.0
kapur	2.0
njih	4.0
haters	19.0
jpu	31.0
menerakan	1.0
panpel	1.0
melaporkn	1.0
haraaaam	1.0
berhdpn	1.0
ade2	2.0
berbobot	41.0
ibrani	1.0
pilihanmu	3.0
lain2	11.0
jagolahhh	1.0
trungkaplah	1.0
masrkt	1.0
penyengsara	1.0
macet	72.0
laila	4.0
direksi	1.0
macem	28.0
pelemparnya	1.0
jrg	1.0
informasi	29.0
jri	2.0
aden	1.0
kronis	5.0
adek	3.0
pidato	41.0
adem	82.0
jrn	4.0
adel	1.0
adec	2.0
kuatir	11.0
maruarar	5.0
nahdliyin	7.0
pemurtad	1.0
trliun	1.0
memutus	3.0
tuuuhhh	1.0
susupan	1.0
adhi	1.0
tipudaya	1.0
melanggat	2.0
lainn	2.0
patekong	1.0
melanggar	178.0
bersepakat	1.0
mengaharap	1.0
kewajiban	4.0
ulung	7.0
jta	4.0
pemainya	1.0
modaro	1.0
pengadian	1.0
sebaramg	1.0
selayak	1.0
menggunting	4.0
nonghol	2.0
jth	4.0
dipaksa	24.0
uluma	2.0
tutup2i	3.0
jua	5.0
dipaksi	1.0
dicikeas	2.0
dikorek	1.0
penjambr	1.0
jug	5.0
kejilat	1.0
juj	1.0
jui	2.0
segalabiang	1.0
jul	2.0
keppinan	1.0
juk	1.0
restitusi	1.0
jun	2.0
jum	2.0
wakakakakkakakaakkakakak	1.0
jur	1.0
guling2an	1.0
jut	1.0
jus	3.0
omtandinganom	1.0
ytgcxcnm	1.0
dsengajain	1.0
patriyales	1.0
mbladus	1.0
indoneisa	1.0
dikritisi	1.0
paahal	3.0
diurus	9.0
adik	28.0
adim	1.0
adil	188.0
habibnya	22.0
jwb	53.0
yordania	3.0
udangnya	1.0
adja	1.0
macho	1.0
jebleb	1.0
prabiwi	1.0
dulkampret	1.0
pilihanku	8.0
ngelecehin	1.0
gretogan	1.0
perasa	1.0
nagatain	1.0
terdpnnya	1.0
masrik	1.0
mnipu	1.0
kerusuhan	31.0
takluk	1.0
filzaaaaaaa	1.0
terpengaruh	22.0
berpuasa	3.0
menyumbangkan	1.0
bopuncur	1.0
mengkanbing	1.0
adlh	72.0
berulah	19.0
ngulama	1.0
lebihkan	1.0
celotehanya	1.0
jyg	1.0
burisrawa	1.0
jyk	1.0
laisa	2.0
jyn	1.0
oecel	1.0
isone	2.0
kemuka	1.0
adny	1.0
ngulabg	1.0
smcdi	1.0
bullshits	1.0
hoiii	1.0
isomu	1.0
adoh	4.0
lantang	10.0
thony	2.0
manas2in	3.0
paahok	1.0
buakakakakakakakak	1.0
panyacat	1.0
kampanyenya	11.0
hadeuuuuh	3.0
jumadin	1.0
pintaran	3.0
ngomonglah	1.0
musnahkanlah	1.0
tuuuu	6.0
perbah	1.0
morotin	1.0
dilematis	1.0
cucook	2.0
banyakbpenghianat	1.0
ngulur	1.0
tuuuh	5.0
terdahulu	17.0
kuatan	2.0
goood	1.0
xixiixixixixiixixixixixiixi	1.0
cuifffff	1.0
taklim	3.0
etila	1.0
sedihhhh	1.0
taklid	2.0
hajarrr	2.0
nilaimu	2.0
mantepp	1.0
emaklu	1.0
kronco	2.0
2kafir	1.0
njur	3.0
kapab	1.0
adol	1.0
adon	1.0
pemakamannya	1.0
bambangsusatyo	1.0
stainly	1.0
berkayakinan	1.0
pidana	33.0
emakmu	3.0
pelarangan	3.0
dikroscek	1.0
beroterika	1.0
kapal	27.0
kapan	254.0
masalaaah	1.0
ashaduanna	1.0
nenurut	4.0
melaksanaka	1.0
ulur2	1.0
kapas	1.0
kejahatan	64.0
level	32.0
disertakan	1.0
lever	1.0
mengkapirkan	1.0
mukamuu	1.0
etika	94.0
naimar	1.0
adri	2.0
iiddiiiihhh	1.0
nilainy	1.0
itung2annya	1.0
seperjuangan	5.0
kab	12.0
kpnjngn	1.0
kae	4.0
dging	4.0
smpaikan	1.0
waspadai	2.0
kaf	1.0
kai	8.0
kah	142.0
kak	70.0
aduk	9.0
kam	7.0
adul	5.0
kal	7.0
kao	28.0
kan	2234.0
aduh	92.0
kap	1.0
terkumpul	1.0
kas	3.0
kar	1.0
kau	889.0
mengerdilkan	1.0
ktinggalan	2.0
kaw	4.0
ngibulnya	1.0
kerurunan	1.0
puasin	4.0
kay	2.0
penistaannya	1.0
ytuhh	1.0
s1380	1.0
sidangnya	16.0
panteslah	3.0
ngerocos	1.0
umpatan	1.0
bundir	1.0
ngakuin	15.0
airnya	3.0
ontanya	1.0
kbl	1.0
jeblos	2.0
kbn	1.0
kbr	5.0
jeblok	12.0
kroni2	17.0
penggusurrrr	2.0
terdekatmu	1.0
siapanya	2.0
hooohoooohoooo	1.0
andhek	1.0
kcl	7.0
benarkan	15.0
hinder	1.0
ke3	3.0
ke2	3.0
ke4	1.0
kcw	1.0
benarkah	6.0
gembeng	1.0
dipakek	1.0
adus	1.0
aduu	1.0
kdg	5.0
komemetarin	2.0
samadikun	2.0
dipastikan	12.0
mwnanti	1.0
primitive	2.0
cukong2	8.0
keluhuran	1.0
mabur	1.0
kea	1.0
disandingkan	1.0
mantaaaapo	1.0
kec	1.0
mabuk	54.0
takbeeeeeeeerrrrrrrr	1.0
ked	1.0
mantaaaapp	1.0
keg	1.0
kembangin	2.0
kei	3.0
kek	124.0
uhuiii	2.0
kej	1.0
kem	2.0
kel	15.0
ken	4.0
audit	11.0
keq	2.0
kep	15.0
ker	5.0
keu	2.0
audio	1.0
ket	3.0
ngumpi	2.0
key	1.0
semasih	2.0
usahakan	2.0
ngawurrr	1.0
amienrais	1.0
kfc	1.0
selsainya	1.0
ditikam	1.0
gigitan	1.0
kfr	1.0
padahalll	1.0
didukun	1.0
bungksny	1.0
kga	27.0
asekkkk	1.0
pertebal	1.0
kgk	34.0
salallahu	1.0
prkara	1.0
qakakakakaka	1.0
siiuiip	1.0
mulesss	3.0
pnybar	1.0
mwnghina	1.0
pmimpinnya	1.0
kha	1.0
khi	1.0
khn	8.0
kho	1.0
pemeliharaan	2.0
dikulitin	2.0
memperkaya	11.0
mendekam	2.0
hindia	2.0
mendekat	3.0
kia	3.0
rruuuaaaar	1.0
kid	3.0
hukum2	1.0
kih	11.0
umrahin	1.0
kik	30.0
direkam	3.0
kim	4.0
ispam	1.0
kin	1.0
kip	3.0
kis	3.0
kir	3.0
ajegileeeee	1.0
pengembangan	2.0
kit	1.0
mlanggar	5.0
presden	2.0
menerkam	2.0
nyampein	1.0
aamiinnn	1.0
diusik	1.0
smbil	8.0
kl0	1.0
peranakan	2.0
diusir	6.0
kjp	10.0
berjilid2	3.0
hasuyan	1.0
kjt	1.0
kjs	2.0
menkes	3.0
kka	1.0
hukumn	1.0
sdhyg	1.0
menkeu	4.0
kkn	14.0
tabrak	5.0
pengadila	1.0
kks	2.0
kku	3.0
kkt	1.0
kkw	1.0
menghadapinya	1.0
bohongpun	1.0
sinting	31.0
bertumbuh	1.0
kla	3.0
kle	3.0
klh	12.0
statment	4.0
prbwo	1.0
smogah	1.0
kli	13.0
klk	4.0
kln	2.0
klp	2.0
grakkkkk	1.0
klo	2244.0
klr	2.0
jeblak	3.0
jauuh	1.0
kls	1.0
ydalah	1.0
klu	691.0
klw	220.0
jahiliah	2.0
hukumx	2.0
yaaaahhh	2.0
pinggir	10.0
kelanjutannya	4.0
somplak	28.0
jlebbbb	2.0
pemudi	1.0
kembangan	2.0
kmi	24.0
ketimbaang	1.0
kmh	1.0
cucunya	8.0
kmn	25.0
pemuds	1.0
kereeeeen	3.0
kmp	34.0
somplax	1.0
bamyak	1.0
kmr	8.0
kmu	159.0
dimegamendung	1.0
gesekan	1.0
audah	1.0
kna	9.0
diusut	42.0
sehatpun	1.0
niup2	1.0
roling	1.0
kng	1.0
tapibsya	1.0
kni	1.0
knl	3.0
ngakuuu	4.0
knp	328.0
kno	1.0
membalikkan	5.0
banciii	2.0
brutalnya	4.0
banguun	1.0
lagunya	21.0
pemuda	22.0
sehati	2.0
koc	1.0
lagunye	1.0
braayyyy	1.0
koe	16.0
kod	1.0
busuuuuuk	1.0
kog	59.0
berkhayal	3.0
menanggapinya	1.0
tongggggg	1.0
ngumbe	1.0
koi	1.0
koh	19.0
kok	2460.0
smbng	1.0
kom	3.0
eaallah	1.0
koo	1.0
tutunan	1.0
kon	15.0
koq	389.0
kop	1.0
kos	2.0
jlekin	1.0
macan	21.0
macak	2.0
kox	2.0
macam	171.0
pikiranya	5.0
fafifu	1.0
tauaaah	1.0
tanggunglah	1.0
mapolda	2.0
kpd	144.0
kpg	1.0
kpi	5.0
kpl	7.0
kpk	218.0
kpn	62.0
kr2	1.0
kpr	2.0
dipakai	49.0
pemuas	1.0
seoerti	1.0
kpu	31.0
luarrrrrr	1.0
dilaporkan	71.0
sehat2	3.0
kwkwkwkwwkwkwkwk	1.0
keleleplah	1.0
astahfirallahalazdim	1.0
kebakaran	16.0
diabisinkan	1.0
sehari	20.0
haaahaaaahaaaaa	1.0
week	1.0
weeh	2.0
paling2	21.0
berprilaku	4.0
kqn	1.0
neigh	1.0
royong	1.0
percakapannya	1.0
berlebihan	32.0
berlebiham	1.0
kelicikan	5.0
ustatnya	1.0
weee	1.0
seytan	1.0
krg	23.0
krj	21.0
ksatuan	3.0
kri	2.0
wedi	2.0
krl	2.0
berkompeten	3.0
krk	1.0
krn	985.0
krm	5.0
kt2	2.0
aeee	1.0
beralasan	2.0
prbyk	2.0
wedo	1.0
kru	2.0
macat	1.0
krikkrik	1.0
survey2x	1.0
daerah2	2.0
ksb	2.0
memprediksi	1.0
penghayatan	2.0
meong	3.0
ksi	2.0
ksh	62.0
preerth	2.0
kerama	1.0
ksn	2.0
kss	2.0
ksr	1.0
ksu	2.0
simpang	4.0
nelok	3.0
untiuk	1.0
ktb	1.0
kta	50.0
kjlsn	1.0
kte	1.0
tebalin	1.0
seumat	1.0
ktg	1.0
mendatang	14.0
tebalik	1.0
kkontooll	1.0
ktk	3.0
ktn	3.0
ktm	7.0
meanwhile	1.0
ktp	235.0
kerana	2.0
ktr	1.0
buatkanlah	1.0
lalu2	2.0
jagomu	2.0
singanu	1.0
junjungn	1.0
kdpankn	1.0
kty	1.0
cangih2	1.0
bangattttttttttt	1.0
merwka	1.0
kua	8.0
diberaki	1.0
knyak	1.0
kue	12.0
eleven	1.0
ditingkatkn	1.0
gkgkgkgk	3.0
anggkat	1.0
kui	11.0
kuk	5.0
kajauhan	1.0
kw2	2.0
kus	2.0
kur	2.0
kuu	1.0
kut	2.0
agmanya	1.0
tertemu	1.0
suangaattt	1.0
rabbies	1.0
bsngsa	2.0
kontoollku	1.0
tangkepi	1.0
lalui	4.0
kwe	4.0
keinget	1.0
kwi	5.0
kwk	11.0
kecollongannya	1.0
dipisahin	1.0
kwl	1.0
wwkwkwk	4.0
ancukan	1.0
mengungahnya	2.0
nkri	672.0
kwu	1.0
bertobatlah	2.0
mkmurr	1.0
weka	3.0
kerapu	2.0
nkrc	1.0
export	2.0
tampakkan	1.0
kxk	1.0
stefan	1.0
akunnya	7.0
duakan	1.0
keagama	1.0
takraw	1.0
kya	83.0
khusnul	2.0
prpfesional	1.0
kye	1.0
gentanyangan	1.0
kyi	4.0
kyk	278.0
nithing	1.0
kyl	1.0
kasat	7.0
nkti	2.0
harimurti	1.0
kyt	1.0
stnknya	1.0
kyw	1.0
undang2xnya	2.0
dikawinin	3.0
darrel	1.0
mursilat	1.0
paakkk	1.0
kerang	1.0
tambeng	1.0
kasan	1.0
kzl	3.0
menjwb	1.0
kasar	138.0
rembang	3.0
semutnya	1.0
pilot	14.0
rohani	7.0
niyat	2.0
enjelina	2.0
109keadilan	1.0
pembahasannya	1.0
jadinya	103.0
nunggu	111.0
piloh	2.0
penahanannya	1.0
well	4.0
kiriman	5.0
jtuhkn	1.0
niyee	1.0
khusnya	1.0
wuuuakakakakaa	1.0
gadget	6.0
menahannya	1.0
foya2	1.0
mnjelekan	1.0
goubloook	2.0
jongklok	1.0
manntttaaaapppppp	1.0
diukur	2.0
mohon2	1.0
malarangeng	2.0
perhatikan	19.0
biyasa	5.0
jijieq	3.0
tenteram	5.0
cuplas	1.0
begundal	9.0
piluh	1.0
jijiek	1.0
holms	1.0
mafud	2.0
mengamankan	5.0
rongsokan	2.0
gblok	3.0
dimanee	1.0
kaset	6.0
badudu	1.0
goreeng	1.0
berstatement	1.0
mesan	3.0
dkumpulkan	1.0
kuasai	28.0
makanlah	2.0
diintruksikan	1.0
maaikin	1.0
buseeet	1.0
pereda	1.0
kepribadiannya	1.0
lab	5.0
laa	8.0
kepopuleran	3.0
erat	5.0
lae	13.0
lah	1208.0
ahiouk	1.0
lag	31.0
burger	2.0
lai	3.0
lama2	86.0
lak	4.0
lan	9.0
lam	7.0
wess	1.0
lap	3.0
istialal	1.0
nalurinya	1.0
diblock	1.0
daaasar	1.0
nonggol	9.0
las	4.0
lau	8.0
law	21.0
lay	3.0
menyainginya	1.0
dagangannya	1.0
identitas	6.0
siarnya	1.0
aquprof	1.0
kasih	445.0
kasik	4.0
kasij	1.0
pemilihnya	1.0
simpati	119.0
lbg	1.0
citranya	1.0
lbh	384.0
lbk	1.0
eran	1.0
barokah	5.0
jaringannya	1.0
masakan	2.0
lbp	1.0
erah	1.0
lbr	2.0
masakah	1.0
lambi	1.0
ckckckkc	1.0
085384957310	1.0
lambe	13.0
weuy	1.0
plontos	1.0
kompanye	3.0
lonyong	1.0
tannyakan	1.0
kasim	1.0
kasil	1.0
maluuuuu	2.0
simpanse	4.0
lamar	2.0
ngeluh22	1.0
dihadapannya	1.0
aparatt	1.0
mengambinghitam	1.0
biyaya	1.0
nemani	1.0
nemang	2.0
rasuki	1.0
ditingkatkan	2.0
disiang	11.0
ptesiden	2.0
ckckckckckckckckckckkkkkk	1.0
leb	3.0
badung	1.0
lee	5.0
tibggal	1.0
tercatat	3.0
karim	7.0
lei	1.0
lek	15.0
ahaha	5.0
karir	13.0
disesalkan	1.0
lalau	2.0
menjln	1.0
lalat	2.0
lem	4.0
lg2	1.0
karis	1.0
leo	13.0
weww	4.0
let	1.0
les	5.0
penodaa	1.0
press	8.0
lex	3.0
mnding	15.0
pelopor	2.0
songong	43.0
meren	1.0
merem	11.0
dimana2	25.0
merek	9.0
dibear2kan	1.0
tersandra	1.0
jadinyah	1.0
gembong2	1.0
prett	19.0
wellllll	1.0
udahkan	1.0
beserbrabgan	1.0
hahahahahahah	1.0
lgh	1.0
lgi	202.0
ftonya	1.0
hahahahahahaa	1.0
gratisss	2.0
keanarkisan	1.0
ngeyelan	1.0
burhan	3.0
blakkange	1.0
mimpim	1.0
aparat2	1.0
lgs	24.0
keduluan	1.0
lgu	9.0
tralalala	1.0
mimpin	91.0
lgy	1.0
mimpie	1.0
mnlai	3.0
karma	109.0
lha	146.0
buahx	1.0
dirahasiakan	2.0
diturunin	2.0
leeeellaaaap	1.0
lho	338.0
diblkgnya	1.0
mendahuluinya	1.0
gosol	1.0
lhu	11.0
gosok	4.0
lht	44.0
pret3	1.0
fashion	1.0
nixon	1.0
lia	3.0
karni	1.0
menyimpang	12.0
lie	4.0
harusny	3.0
hamburkan	1.0
karno	15.0
konconya	6.0
pajero	11.0
lil	24.0
lik	2.0
lin	3.0
lim	10.0
binalah	1.0
lk2	1.0
lip	1.0
mimpi2	1.0
dtu2p	1.0
lit	2.0
kejernihan	1.0
jatuhi	1.0
syarat2	2.0
karna	417.0
kaitannya	9.0
merka	5.0
erik	3.0
mndiri	1.0
lja	1.0
dilatih	2.0
jagoan	67.0
lalgi	1.0
pemecahbelah	1.0
bahwasanya	1.0
kepalumu	1.0
eric	7.0
wenang	1.0
pengacanya	1.0
karns	1.0
baperran	1.0
jangna2	1.0
milinium	3.0
mndengar	1.0
peiksa	1.0
buaat	1.0
nelas	1.0
chalid	1.0
fustun	1.0
beluau	3.0
nelan	2.0
hahahahahahha	1.0
mulutnnya	1.0
nelen	1.0
meneriakan	1.0
anunya	13.0
mencontoh	5.0
josssss	1.0
blajarnya	1.0
forefer	1.0
mimpen	3.0
santunlah	1.0
blgin	1.0
lku	1.0
nyodomi	3.0
riseeejkk	1.0
wakakakakkkk	2.0
gerogotin	1.0
ngebahas	4.0
wkwkkwwk	2.0
kerbau	4.0
llg	1.0
memalukn	2.0
lalii	1.0
llm	1.0
lll	1.0
wueek	1.0
keinginanmu	2.0
ckckckck	23.0
betuuuuuuul	1.0
prabocor	6.0
llu	7.0
bengcong	2.0
petemuan	1.0
waalaikum	2.0
lma	4.0
merestui	2.0
memenangkn	1.0
memenangka	1.0
bosnia	3.0
three	1.0
lo2	1.0
erna	1.0
dzulqarnain	1.0
syaraff	1.0
gereng2	1.0
mrtabat	1.0
bercerminlah	2.0
selatan	2.0
pilem	1.0
pilek	1.0
lng	3.0
nercermin	1.0
arif2nya	2.0
gosip	13.0
pileh	1.0
pileg	5.0
lapasnya	4.0
bisamemilih	1.0
kewarganegaraan	1.0
kunyuk	1.0
dicubit	3.0
syabarlah	1.0
timbulnya	2.0
gosif	1.0
kontroversial	1.0
afal	1.0
ahaaa	1.0
loa	1.0
loe	1364.0
rakusnya	2.0
loh	308.0
log	1.0
dihotel	3.0
karto	2.0
lol	64.0
lok	4.0
lon	3.0
lom	17.0
kartu	32.0
loo	45.0
lor	1.0
eggak	1.0
lot	2.0
lov	1.0
lou	17.0
low	29.0
loy	1.0
mngedapankan	1.0
lpa	6.0
brbohong	4.0
dulu2nya	1.0
jauhipengidapagamateroris	1.0
lpe	1.0
lpg	2.0
eron	1.0
karun	12.0
akarnya	3.0
pilihanya	6.0
dobrak	1.0
cinlok	1.0
karus	1.0
lpp	1.0
kanciang	3.0
allahbtidak	1.0
menular	7.0
surevy	1.0
silegging	2.0
brjaya	1.0
eror	7.0
seorsng	2.0
jadobparti	1.0
efisien	1.0
mersa	2.0
mencontek	1.0
wkwkkwkw	12.0
badut2	1.0
ersa	1.0
dirayakn	1.0
renong	1.0
kwkwkwweekkw	1.0
